tweet,sentiment,highlight
@CybelSaliby ahhðŸ˜‚ ehh w el tal3a ass2al b ktir ðŸ˜”ðŸ˜‚,Negative,None
@D_AJ_ ye3neh ntartineh la odhar min beirut la tinzaleh 3al hamra??? ;( ,Negative,None
@deliciadagher @halastyles ou3a 7ada y7kele chou l2ossa :&lt; ,Negative,None
@Douniakatibi eh ktir bahdaleeeeee,Negative,None
@eddy_hatem ya3meli chi effet ba3ed,Negative,Sarcasm
@elikhoury763 Margo ma 3m tred 3alaye.. Ma32oul beha chi,Negative,None
@eyadnakad 2-hayda el tefkir li 3am yjer el balad la fetan mazhabiye w 3ayb nda7ek a3de2 3layna ,Negative,Sectarianism
@fadelkaadan anna bi beirut bas raj3anee 3a Milan :/ ,Negative,None
@faditarabay88 @sarah09998 @LBFJPA @wef @Gebran_Bassil La abadan bas t7alafna ma3 hizb alla w fawatnahon bil7okomeh layser el General ra’ees... 3an jad ino sho el mshkleh?,Negative,Sectarianism
@FadwaRifai 100%.. Ktir sayir fi falaten w kello 3l hayin w yalla shou ma ken !,Negative,None
@fakihn allah la ywafe2on kif 3am bi2atloulna l jech lebneni aslan eza keno sena aw chi3a aw ... chou manon 3alam w 3endon ahel,Negative,None
@FansLeaMakhoul1 Anaaa W Ma Bcherikk Bi Wala Wahad Ba2aa:pChii Ktiirr Mez3ijj W Ma Elo 3azee..Chou Ela Me3na Ybayyin Senye L Esem Bl Trend?😂 ,Negative,None
@FaridaZeinaty Faridaaa:( ente bta3rfe chou bene:/ haha:p ,Negative,None
@FaridaZeinaty hahaha chou m3asbe menno:p ,Negative,None
@FawazMay eno ma byitla3le bonjour?????ahl ljnoub kerama wala chou??????,Negative,Sarcasm
@G_Rizkallah be charafak chou khass naffis,Negative,None
@GaelleAbiC chou bet hebbe halik,Negative,None
@Gebran_Bassil Dakheel ijrek maba2a t2adim shi inta. Shfna kl shi shtaghalto lawen wasalna. Rte7 habibi nhna mn adim 3anak,Negative,Sarcasm
@Gebran_Bassil plz plz gebran 5alik mtebe3 lmawdo3 ma ba2 badna phalesteneye wsoreyen 3ena el mawjoden bykafo ,Negative,Racism
@GhidaSkaf eh baybb sba2ine ðŸ˜ Dakhlik 3esh min shefik :o Kel ma sa2alna 3anik btetl3e b Beirut :/ ,Negative,None
@GODjr_beirut meen al eno aslan 3am dawer 3a hadan mn h! jenes adam?!,Negative,None
@gracichamieh6 @paolakassar @noelabichedid ana ze3len menkon kelkon,Negative,None
@H7470 hehe hayda saba7 ...saba7 l 2araf ,Negative,None
@HadchityMarc sadi2eh past mesh ya3ne men seneh ðŸ˜‚ bzakrak torres sarlo aktar men sene rayih men liverpool (l soura l enta hatayta abel) ,Negative,Sarcasm
@Hammoud_91 @LamaGhaddar05 hayda le 3am ya3mlo le3lenet kter gesho :/,Negative,Bullying
@hasanmakki ma khas l history b hek :p ma tkun metl liverpool fans:p ,Negative,Joke
@HasanOsseili ana ba3dne bala akel lyom ðŸ˜¢ sheyef l dene akel :p,Negative,Joke
@HaveYuGotItYet ohh shit :/ kherbene ktir ya3ne?,Negative,None
@hazoon2014 ana mni7 khabrinehhh chou li sayir ma3ik,Negative,None
@hazoon2014 chou beneh ???,Negative,None
@hazoon2014 leichhhhh chou bekehhh,Negative,None
@HoussamMazraani shft ness btt3ab kaza sene la tsir doc w hayda la ann sham ri7it awal sene medecine sar doc !!!,Negative,None
@HusseinAlameh @_mayarr @KRHamzeh Mayar kharabet bet twitter bhal soura enta,Negative,Bullying
@HusseinRimmani ktir ha itdeya2 iza fal.,Negative,None
@iLoveMJK @__noOna_ ana ma bade yen3arad hayda l ramadan cz fi meryem ðŸ˜“ haram ykoun fi la haifa 2 series betdi3 l tase ! ,Negative,None
@Imadalhindi mouch 3ejebni iben el Maalouf lately mouch 3am byetla3 7esso ktir @jad_maalouf,Negative,None
@jadbadine: Hayda ghadab allah 3ala l 3alam teta is that you?,Negative,Sarcasm
@JamalBarakat ma helo teksouf el 3alamlamma hada yetloub mennak talab helo tlabbe!! ,Negative,None
@JasonMardini yuhhh khalas chu bedak bhal chaghle aslan :p,Negative,None
@jeanluc2 ma bhebb etmacha bellel honik ma berteh,Negative,None
@JeanPaul87 ana hek.. hal chi mich mrayahne abadan.. allah yestor,Negative,None
@JessyBassil Lol so2al ktir tefeh😂,Negative,None
@jesuisjamal chou leich ghebteh jom3aaaaaa chou ken bekehhhhh,Negative,None
@JoannaKai1 6 snin??? Rou7e 3mele 7akime  chou ela 3aze 7ayawenet ?,Negative,None
@JoannaKai1 maraaa sorryy :p 3anjad mich ased,Negative,Courtesy words
"@JoanneSayssa nawre: ""sabaho ya helo"" jana : "" joanne run :| "" ",Negative,Sexism
@joe_moubarak chou bek mya2as? ,Negative,None
@joemaalouftv please am bsma3 men ktir nes eno khayfenin ma yenzalo a ashghalon ta ma ya3mloulon shi. specially l shariket wel eshya l teb3a la randa berre! ,Negative,None
@joesaymongebrane manne mla72a khalles lal rendu boukra w seret mkhallsa bas planche men assel 5,Negative,None
@joooyyyyyy KTIR AABELE TAB .. MA FINE BAS MARRA? :(,Negative,None
@justaline1 @lama00lamlam ana li bya3emlouleh unfollow bkoun hekeh ma3oun w bhebboun w henneh kamen bas duno chou bi serloun byofosmo,Negative,None
@KachmarAli @Janahakim el e7tiram ma khasso bi fare2 el sen. Fi nes akbar meneh b ktir w ma kharja e7terema ,Negative,None
@Kalamennas fina na3mol ktir echya Bs dawletna ta3bene ktir .... ,Negative,Sarcasm
@Kami2kira hayda shi beshaheeeee ? :s,Negative,None
@kamilKfoury yeah yom ktir helo bukra :p ,Negative,Sarcasm
@Karlsfeir ma baddak yo7daro terke ma beddak yo7daro jouzour chou baddak? Y2adouwa porno ya3ne? ,Negative,None
@kobebryant RIP aanjad ma aam sadde2 #kobeandgianna,Negative,None
@Lak3ade: Mazel 7adertik be hal moustawa w hal ahammiyye.. Leh mch sem3in 3annik babe ? #MTVLEBANON #mtv #MTVLEBANON #mtv,Negative,None
@LamaGhaddar05 ma ktir tsad2e jaridet. Lakhbar,Negative,None
@LaraAtat akidddd kel leil 3am bi fakir bi hakeh marwan charbel li bi fout bel aleb ,Negative,Sarcasm
@LaraBouMoussa aslan fi parts manne ktir fehmeton :/ bass yalla ... 3am net3allam chinese ... Baddik ahla men hek??!:p,Negative,Sarcasm
@LBC_Group 3al #mtvlebanon keno ahla #mtvlebanon,Negative,None
@LeaSbaite khabrine besharafik ana ktir zeh2an bel saff,Negative,None
@lylymaalouf madame ma t2aderbo ktir bedna nkhaless bakir :p,Negative,Joke
@makramaoun @nidaleissa lech hek 3am tehkoune tab ? :( :/,Negative,None
@maleksharif plz s2alo shou ra2yo bl shebeb yelle darabou l 3alam bl wassat Beirut w yelle 2awas b zalka ,Negative,None
@MarcRashed4 enta ktir sa2il,Negative,Bullying
@MarcRashed4 weer hayda taba3 mbereh?,Negative,Foul language
@Maria_Kassis Lehhhh ktir meshweye:o ,Negative,None
@mariagilmour6 @reemxxo ehh la2an jessma mish helo?! ,Negative,Bullying
@mariagilmour6 yemken hayda 3anjad helem ,Negative,None
@marieroseosta @Change Yl3n shaklik S2ltik kif 😂 Gebran 3ndo nes sawatetlo just so you know 😜,Negative,Sarcasm
@Marwan_BFD @dankarz @MhamadDankar @AdhamArslan eza hada sa2al 3an lshabe kilo busy bl whatsapp ,Negative,None
@Marwan_BFD hahahah haram wloo!! ,Negative,Joke
@marwan_fd @Khalilsaad7 Se3den temo ad mgharit Jeita w mankhouro mtl kwe3 arayya ,Negative,Bullying
@marwan_masre sheyef el chabah moukhif ka2ina hye w  hssein el deik twins ðŸ™„ðŸ¤£ðŸ¤¦â€â™€ï¸,Negative,Bullying
@MelodieTamer yaret ha ele :(,Negative,None
@mich_h ehhhhhhhhh ma heikkkkk chou ha tetsalehhh bi cha3ratik mahroutin 3al sa2ef bel jeux de lumiere,Negative,Sarcasm
@MishoRicha @NadimBayeh_ chou khas? ben iran w saudi iran is LESS WORTH tnaynetoun adrab men ba3ed w alla yeb3edoun 3anna. ,Negative,None
@mlzzzzzz 3adz  3melo ba3d chi machrou3 baleyÃ© #groupe #de #putes #groupe #de #putes,Negative,Foul language
@Monier_Heghazy helo ketirðŸ‘ ,Negative,Sarcasm
@MouhamadNahle lol ktir hek habal walaw,Negative,Bullying
@my orthodentist please ma ktir tnikile temme i wanna enjoy China box liom ,Negative,Foul language
@Myriam_Khalil exactly. Yemken shi soura mn asel 10 ele la ya3rfo ysawroune.,Negative,Joke
@NadimKolfat @charbels41 l helo fie 3am ynakit 3al sukleen w houe chauffeur taxi ,Negative,Bullying
@NadineElRassi @Mariane_Saad woselik saleme aw nesyetne ðŸ˜ knt ktir habe enzal bs ma edrt chefte el school chu bta3mulðŸ˜­,Negative,None
@NaylaNicolas 3anjad.. Hayda she ilwa7ed le ma 3am ba3ref 7ebo ðŸ™ˆ bonjourek have a nice day ðŸ˜˜,Negative,None
@nicolasmezher ana ktr z3elet 3ali 3m t3mlo ma3 rim bs bidal temsilak helo w moudhech :) ,Negative,None
@NinarElkak chou beke Neuer. Mouhejim,Negative,Bullying
@NoourNk chakhes bighaneh sawto helo elo fatra bighaneh w heik bass 3a chou bet2alho lness w ouw3a tehko 3anna w yay w yi ,Negative,None
@NourH92 ma bi salle ktir eza ma ken mou coach tbh,Negative,None
@nrkhwnd Lek hole metl sahar ghadar ya alla bdon yemsho be trend l thawra bas ma bdon ykono dod l hizb,Negative,None
@ola_krayem ana kenet 9 bas la2anu fi faute d'orthographe ktir shelet 1,Negative,None
@Omar_Khodor ana member b injaz -.- bas ma bade yensou l shhede bel maktab b beyrouth :P 2al mneb3ata #aramex #aramex,Negative,None
@OSalem96 Bro shu 3m tebke.. beirut ma3a esshel,Negative,None
@OsamaRahhal9 @tonyrizk_963 man ktir sa23a b Zahle l 7arara shi -5 !,Negative,None
@OumaiimaKamiil1 @reem19431 sorry hbb kenet ktir madghout el hamdellah now am fine,Negative,Courtesy words
@ousbou3fisa3a 2alla yse3ed chou biyefham,Negative,Sarcasm
@pamoffff bas 3anjad tawal ktir 7adis balad chata2na lal barnamj,Negative,None
@perla_noun yhh :( bass helo el mawdou3 ,Negative,None
@perlarouhana Fi Kam Hada 3am Yhotto Dislike 3al video W Akid fi Ktir rah Yente2dou Fa 3am Zakkeroun Bi 3e2detoun ;p #LeaMakhoul #LeaMakhoul,Negative,None
@peteryounn3 @sergebassil3 sorry 3anjad wallah ma ken asde ya bros,Negative,None
@PinellaHanania sho helo l zh2?? :p :p ,Negative,Sarcasm
"@raedhassoun lech hek mfkrni bkrah l barouk ana ru7i m3l2a bl barouk bas bkrah nesa ""7awach"" 😊",Negative,None
@ramonak23 @MarwaElMarouk ðŸ˜²ðŸ˜²ðŸ˜²ðŸ˜°ðŸ˜°chou hayda ya 3ayb el choum,Negative,None
@RamyMhanna: Mish meshe l hall b hl 3asfe  m2adyina akel azda 7ash*,Negative,None
@RayaneHakki ana nawre chou fike ta3mle :/,Negative,Sarcasm
@RayaneHakki chou nawarrr,Negative,None
@ReinaDannawi @nadinennjeim @khal333340 @abedfhad bas ma enti li bil souraðŸ˜œ !!,Negative,None
@Riita8 @andrea_lian helo 3ane :p ,Negative,None
@RimaNJEIM ma 3ena ersel ya rima beyrouth gemeyze alla ma3ik ma sme3tik wala lsala ma ba3ref eza men 3endkon or lradio . ,Negative,None
@Ritarouhana helo ktir. Eza badkoun tejo kelkoun ouloula la nawal tjebelna van akbar :P. Ba3doun 3am bi rouho bel van li bi se3 nos wahad? ,Negative,Sarcasm
@rodolphbourgi hahahhahha hayde ktir bte7keðŸ˜‚ðŸ˜‚,Negative,Bullying
@RomyMChaoui uf oui fhemet! Hahah chou bekee??-.-,Negative,None
@S_Assi 2reft l akel ya zalame ad ma akalt lyom,Negative,None
@sabine_mansour @MhdDankar @waelhc @Marwan_BFD ana bzon ma btel2a bs het ta nshuf ,Negative,Bullying
@salibareema sarit men hol lclass li ma behko ma3 nesss mich ktir famous,Negative,None
@Samaar_hw @RalphSlt hayda huwe zeto bi 7adis lbalad bss bija33ir aktar,Negative,Bullying
@SamanthaD17 la2 wlo! Helo ykoun min lebnen haram truh l zine li 3al tor2at di3an. ,Negative,Sarcasm
@Sami_Aoun_7 man @PaulGhanem 3ayouch bado yrou7 ma3 marwan w roberto w baraket yeskaro ðŸ˜“ ,Negative,None
@sami1jawad ma law btetfadal 3alyna w btehjouz w bteje b hal shaher bkoun shi ktir helo!! ,Negative,Sarcasm
@Samirnassar95 chou fiya chi helo? Elle pleaseee gher eno bs bass awal noss d2i2q ? ,Negative,None
@samirsleem bro ne7na bisexuals chou fiya?,Negative,None
@samirsleem chou mfakarna milan ? Anw ana fe2id l amal hal sene CL so eh mafroud yta3mouna khara l layle,Negative,Foul language
@samrajoanna @joseph_rehayem pff shou hayda ma tlo3na bi natije mou2ni3a :p,Negative,Joke
@sanatarabay hahahahah chou bakrah bass ysir heik 2achya,Negative,None
@SandroMsaed @najwakaram @alimouinjaber @ArabsGotTalent rah ywa2e3a 3a chway chou el ossaaaaa,Negative,None
@SarahAM99 Chou sar,Negative,None
@Simon_993 Mch hk Ya simon bas 3anjad he chab beche3 kif b oulo 3anno 7elo? ,Negative,Bullying
@StaracArabia lech w chou sabab ma3am thetou gheniyet mabtes2alch 3alaye li ghanetha kenza ????la2an mbayna ghada rah yaf2a3 2alba men lghir,Negative,Bullying
@stephanie_saad Chou zanbe ana eza da2alle mouhame el fennene Ahlam??? ðŸ˜,Negative,None
@stephaniemargossian @JnNakhoul76 chaklo sayer chi ma mnihh la hek sektin kelkom,Negative,None
@tamareldahr @BobBakour el cnxn ktir bati2a badde shi 4 snin la ohdaro kello,Negative,Sarcasm
@TarekTamo eh ana chwei nezlet dame3te kamen ,Negative,None
@TerrAyoun @Gebran_Bassil lesh n7na badna nsta2bel wnt7amal 3ala 7sebna aktar men ta2tna wbel e5er ele awaynhon byt3anona bdahrna ,Negative,Saying
@TheBeardedPirlo ya 3ame eh w ktir helwe :p bass eno bi2ela b3atiyon taxi bt2ello hal2 beb3aton wtsp? Ymashoona ,Negative,None
@tracyghanem eh hayda zolem .. J'ai rien fai le2an :/ :p ,Negative,None
@vanessabyounes @adelkaram9 chou halll hadeyaaa li ha2oun 20 000 ll majaleh 5000 ll w cd 1000 ll w 3elbet barazi2 16 000ll la2 bas mkalaf,Negative,Sarcasm
@VictoriaElissa allah karim w shehed hayda bikafiðŸ˜ž,Negative,None
@VivoD3 @whos_al @alimouinjaber @rayaelhassan Ra7et el solta el tanfiziyi hala2 fi el tashri3iyi wel jomhouriyi...ya byetnezalo w by3mlonyali el thawra beda yeh ya 2ama mafi rest la yeghra2 lebnenðŸ˜˜,Negative,Sarcasm
@wakanou_ Bass la ma3loumetik ma kenet 3am defi3 3al benet literally ma ba3refa bass kenet 3am 7awil wassilik fekrit enno el diaspora lezim ysedo ni3on iza 3andon shi y2oulo dod el thawra bass heik,Negative,None
@Yara_berberi @ghanemeddy nhnaa mjenin chwe la2 ktirðŸ˜‚ bss enoo haram maa nchufo ðŸ˜­ðŸ˜­,Negative,None
@yarakreidi man men chway kenet 3melet accident ba3dne la halla2 3m berjof,Negative,None
@YesserTayyara @carolee12345 kel hayda 7ad bayte w mish 3aref...,Negative,None
@zienb_2 eh wallla shta2tt :( ma helo hk tab w lh we2ef l wtsup? :( ,Negative,None
#haz_mafi hayda li ahlou me7tarin ydakhlou lau aw aub tab ma leeeeeeh ???? #haz_mafi,Negative,None
"#MTV ba3ed fi di3ayet ""ktir ktir ktir binaddif perlex"" ma 3edtouwa mit marra ..:) #MTVFailedAgain #MTV #MTVFailedAgain",Negative,None
#typicalLebaneseFather Dad:joanna 7ej tekle btonsa7e W kel ma yjib akel baddo yta3mine bl ouwe #typicalLebaneseFather,Negative,Sarcasm
â€œ@melissahabchy: @karltabet1 chefeetttt :(( haydik el jom3a rekbte halla2 2ide Im dyingâ€hayda alla ðŸ˜,Negative,Sarcasm
â€œ@Vince_Gebran: Halla2 ma3 kil event lÃ©zÃ©m yÃ©n3amal ma tÃ©nso t7otto sa2Ã©f #Anti #Swari5. Just for safety.â€ Loool #Anti #Swari5,Negative,Joke
3al mada el arib mich aaref chou el jaweb.. ma badde erja3 eghlat bi ha2kon w ekhsarrkon,Negative,None
3am chuf m3alem l shawarma b mar mikhael aktar ma 3am chuf baye ,Negative,Joke
3am tehke 3anak ya bro ðŸ˜‚ðŸ˜‚ @Gebran_Bassil ,Negative,Bullying
3am y2oulo el nes ktir 3m tesro2 lately!,Negative,None
3am y2oulo jeye tsunami 3a labenen!! #yailahi,Negative,None
3an jadd chou alabte 90 daraje ,Negative,Saying
3anjad chi byef2os enak tkoun daraset daraset y2ajlo el fahes.. rah kel chi di3an,Negative,None
3anjad hayda esmo match football? 2 penalties misses? Eno walaww,Negative,Sarcasm
3anjad kobe ken najem el le3be allah yerhamo,Negative,Courtesy words
3ayzin dam o- la ekhte bi mestachfa maounet bi jbeiil please rt ad ma fikon,Negative,None
3azeb hal semester 3azeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeb,Negative,None
3melet accident w kassaret el syyara w sarle se3a 3am bebke,Negative,None
4.15 - 7.20 Home sweet home.. #TrafficJam Bi 2oulo tjanabo lebnen lech fi a7la men lebnen? #TrafficJam,Negative,Sarcasm
5tana2na men rihit l hari2 ,Negative,Known fact
7aram patchi w alfa m3atren anja2 betal3o 2-3 millions profit a year ,Negative,Sarcasm
7asis 3youn nancy ajram ra7 yekhtefo ðŸ˜ ,Negative,Bullying
7AYETE KEZBE MA T5ALLINE ERJA3 BALLISH BEKE ,Negative,Saying
7elwe l3aj2a ..... eh bass ktir hal2ad@@@,Negative,Sarcasm
80% mn lshii3a including me 3ayshin bi sera3 dekhele between defending lmokawame le defa3et 3n aredna w fadet bi wleda dodd l3adow lsohyune wben nu2af dodd seyeset hezb allah w maw2afo mnel thawra. I cant describe the struggle right now ,Negative,None
A7la chi wa2ta ytalet telephone.... Chou mnonbosit :p ,Negative,Sarcasm
Aayne ktir aam toujaane ,Negative,None
according to oomf ana nes7an wejje sar ansa7 bas eza habb l hawa w ramani bsir b beirut,Negative,Joke
"Ahla shi bass yed3ouna ""li dabt l nafs"" w ""tajannoub l fetna"". Merci ya3ne 3melto sheghelkoun ktir mnih ",Negative,Sarcasm
ahle wala marra aloule bravo,Negative,None
akalta 3ayta la2an kasaret mazharie,Negative,None
Akh ya albe ,Negative,None
Akh yaret helem hayete hayda ,Negative,None
Akid mish joker 7alabouuu ,Negative,Saying
albe ma byehmol ba2a aktar men hek,Negative,None
allah lech hek khala2ne? :( :(,Negative,None
allah yestor chou rah tal3o arar,Negative,None
Ana bente7er ,Negative,None
Ana bhebik ktir bs ma habyt menkun bs ro7te ala jlasit mouwezaneh w lezim te7termo waja3 cha3b w sawra w zolem abel ma ta3mlo ehtiram lal mou2asaset ,Negative,None
Ana fhmen wejhtet nazarak...bas into from your point of view ma fhmenen ino n7na ma mnosa2 la bel 7ariri wala ghayro jarabnehon ktir w kil mara feshlo kilon y3ni kilon...Meshklitna msh bas mshklet mataleb..mshkletna meshklet the2a w la7 ndal n7arebon w 3lyna w 3ala 23de2na... ,Negative,None
Ana hesis rah trouh 3layna ana heik sheyif...maximum khalas iza ma meshe hal l balad men hejir men3ish b balad yalle 3eyshin fi l 3awniye balad akho maniouke shaklo ma baerf wein bas balad ktiir helo ,Negative,Sarcasm
ana ktir bech3a,Negative,None
Ana lezim arrir b asra3 wa2et chou bade etkhasas aw jem3a. Bass la chouu ,Negative,Sarcasm
ana men hala2 la tos2ot lhoukoume kella w tokhlas l thawra ma rah otlaa aal autostrade ,Negative,None
ANA Mka2be. MA BA2 FINE.. ,Negative,None
Anjad kteer zaha2 men douno :/ ,Negative,None
Ansar w liverpool 3laye ktir hal2ad ,Negative,None
aslan chou el helo bel hayet? gher el akel,Negative,Joke
"Aw enn l ahla men hek hay li btelbesle crop top b noss din l sa23a w l talej w bte23ad tne2 ""Msa23aaa"" ""Ya alla ktir sa23aa"" N2ebre lbese. ",Negative,None
awlkon byaarfo shou yaane حكومة تصريف أعمال? bshekk bl mawdou3. ,Negative,Sarcasm
awlkon eza rehet ethchammas rah ehtere2 ktir? 3etlene ham,Negative,None
awlkon rah os2ot fahes el tarbiya bokra? #helpme #iwillpay #ineedanA,Negative,None
ayre ktir 2asarit fiye hal kahbriye,Negative,Foul language
Ayre ktir z3elet eno hek alle,Negative,Foul language
B oulo alla khala2 l 3alam b 6 iyem w ana projet jem3a bede chahren la khalesob,Negative,Joke
ba3d boukra el te2dim!!!!,Negative,None
ba3d ma akalet chi lyom :(,Negative,None
Ba3ed fi sette ma 3emlet make up tutorial,Negative,Sarcasm
badde enteher,Negative,None
Bade efham chou khas lwardee bi allah ðŸ˜‚ðŸ˜‚ðŸ˜°ðŸ˜°ðŸ˜°ðŸ˜° ,Negative,None
Bade enjahhhhh ðŸ˜ª ,Negative,None
bade hada ydafine ktir bared ,Negative,None
Bala manyake aam tujaane ktir baydte ,Negative,Foul language
bara lebnen ya kalb ento 5hayneen ,Negative,None
Barke la2an ma beda ta3te ra2ma ðŸ¤·ðŸ»â€â™€ï¸ ,Negative,None
bas chefet jesme bel maillot kenet rah ebke.,Negative,None
Bas enno seriously ana ele yawmen betkhayyal keef l ahadees 3am tejre bayneton 3al whatsapp group tahdeedan Hariri: ya shabeb ba3ref badna nesro2 kellna badna nesro2 hayda mettef2een 3le kellna bas afarouna wled l haram halla2 shu badna na3mel ,Negative,Sarcasm
Bas ma telkush shakhes ma ktir testaghreb ino battalo yehkuk.,Negative,None
bas ousal 3al beit rah ekela bahdale men ahle ela awwal ma ela ekher.. d3oule,Negative,None
Bassam bte7lam feyon lal syesye bel leil as a nightmare? :) ,Negative,Sarcasm
bayye ktir m3assab  ma bede choufo hl2,Negative,None
"Beit wared sakar wa 7ayefta7o ma7alo turkish restaurant ""mehmet"" metl nusret so prepare yourself lal jala2an ba3d km shahr🙃🙃 ",Negative,None
Benet jirana 3emra 16 lyom khetbeta lol . . . . Khayfeh t3anis ma fhemet chou sayir 3layoun lbanet,Negative,Sarcasm
Bes eje fakir bi moustaebale bkhaf,Negative,None
Bhes hale ktir habile lama 2e2ra shi bel french w ma efham wala kelme.,Negative,None
bi bakke,Negative,None
bi balad l3ajeyeb bi lbnen 7akim jara7 sh5os ynzouf dam bl 3yedeh w ynzat 3la lrasif w ma 7ad bys2al l7akim leh 3mlet hek !!!!!! hayda lbnen ,Negative,None
Bi chou belik lkel 3m yetzahar nzale tzahare ma3na ,Negative,None
Bnj rima ana 3ende mared tawahod ma3am le2ilo mo2asase wma ma3e hoto bas ma hada 3m ydelne bade mo2asase beirut aw l b2a3 bkun mamnuntek ,Negative,None
Bonjour 30 alef 95 w bala ma totala3 3a fkhade merci,Negative,None
Boukra btotla3 natijet lfhousat. Allah yestor,Negative,None
Boy : ana be7tirim ra2ey el mar2a w da2iman b7otto 2idem ra2ye Girl : habibe enta ktir mni7 Boy : skete wli ma 7adan talab ra2yik *slap her*,Negative,None
Bro i live in a 50*C country w ma bhayeta ra2bte htar2it w asharit bas jeet 3a beirut sar hek leh... ,Negative,None
bro kif serna hon ,Negative,None
bro l o*wet baadon mfakrin l thawra elon😩😩😩ndabbo kelkon yaane kelkon,Negative,None
bro l o*wet baadon mfakrin l thawra elon😩😩😩ndabbo kelkon yaane kelkon,Negative,None
Bro ma3ash bede thawra bede ru7 3a concert the Maine ,Negative,None
Bta3erfo chou ahla chi? Eno mom bs tou3a bteje bet sakkir beb l ouda w bta3moul hoover aw hayala chi ,Negative,Sarcasm
Btw l goalkeeper ktir feshil ma byet7arrak 3nj afshal fari2,Negative,None
Bukra nezle Beirut w Ahle 3am b hasesune I'm going to war ,Negative,None
Bye3jebne Hayda yalle 7odir 50 Shades of Grey bass ma byo7dar Mia khalifa l2eno 7aram ,Negative,Sarcasm
