tweet,sentiment,highlight
@alitahini machghoul bele 3alek ktir ya habibe! 3tine khabar eza bayyan chi ma3ak.. wallahi albe 3lek ya khayye,Negative,None
@AlniyadiMira hahaha habb chou hal 2ste2bel l helo:p,Positive,None
@AloufFares chou hiye l ossa leh ?,Neutral,None
@AmaniEzzeddine laaaa hayda esmo jahal:P,Negative,Bullying
@AmeLMhamad yumyyyyyyyyy hayda akel :) alf sahha ;)),Positive,None
@amineakl9 @premierleague haha 5aye mahadan 2arab 3laykon. Yea into ktir aweya hal sine! #3ishhhhh #3ishhhhh,Positive,None
@AmmarFadlallah @HadyDoughman 3ayb 3lek ya sayid..zolom hayda biseer :P,Negative,Sarcasm
@Andrea_Hajal lek chou hayda ktir hekðŸ˜»ðŸ˜»,Positive,None
@AndreaChahoud choi hayda mahal chou,Neutral,None
@Andreah_22: @patrick_bassil hahha ana ktir cool bel 3akess haha 7asset ..... kente ra7 teje da3sine !,Positive,Joke
@AndreaJadaa chou rah na3mel lal presentation boukra? hesse rah nos2ot bi ouwe,Negative,None
@AndrewBachir bass wla,Negative,None
@AndrewBachir hahah bas wla :p,Positive,Joke
@AndrewBachir ken fi hari2 had l city mall,Neutral,None
@AndrewBachir toz 3leik ðŸ˜œ,Negative,Foul language
@AndrewBachir yii waynak,Neutral,None
@anthonyeid1: L helo eno l ghada ma b 3oud ya3rf yballesh nhar l a7ad,Neutral,None
@Anthonyrr2 lek ktir mabsout bel quote tweet?,Neutral,None
@ArabsGotTalent Jennifer waw raw3a,Positive,None
@ARK__17 min hayda :p,Neutral,None
@Arthur29387050 re3eb hayete 😭😭,Negative,None
@as3ad93 ad ma ken hbb min hayda lfari2 olympiakos men aya balad?fi shi le3eb bna3rfo?fi shi le3eb ma3rouf?,Neutral,None
@ASaddCat Mafikun tkouno m3 l thawra w tkouno ma3 hayala hada,Neutral,None
@ASloppyJoe yi eh w sa7ib o.O ash jeyina nehna ahahahaha Face with tears of joy ra3abetne lal ha2i2a Face with tears of joy bss it's just eno l hmar bifut bl het marra wehde w hek New moon with face,Negative,Saying
@AsmarMaria 3anjed eno ana aw2at lama chufik 3am tdakhne b sir ma3e bonner! Min hal ahbal hayda li ma bye2ta3 wala b2ay tari2a,Negative,Foul language
@AsmarMaria chou 3am ta3emleh?,Neutral,None
@AtallahDalia LEI KENTE BEL NRJ MUSIC TOUR ????,Neutral,None
@atwanlucciana ANNNNNNN NEWTON MAHAL LL AKEL,Positive,None
@atwanlucciana mnihh w mano so3eb ktir,Positive,None
@audreyakl5 aanjad proud.. ana baadne bkhaf men hal chi,Negative,None
@ayafares @TheseDamnQuote chou b fahmik ente aslan. Ktir sa3be hay,Negative,None
@ayafares eno ehh ma ktir,Neutral,None
@ayamerhej ana ma bestarje hek,Negative,None
@AyanaYakhni ehh you did I'm scared now 🙈 hahahaha la2an hayda aham semester so lezem edros walla 😣😣,Negative,None
@ayoubiemma looooool ktir helo bas enteh ahlaaa yo2broneh modelik chou helweh,Positive,None
@ayoubjanine ummm anaaaa walla lyom 3am zawim hatta wl ac mdawar hahahah seret mhamam 3 marrat lolll w now feyit ktir chob w ess,Negative,Foul language
@aziz1617 la2ano ktir z3elet ana... Hahahahaha btw ya habiile unfollowed****,Negative,None
@AzizaKamilla hayda 3azeb,Negative,None
@AzzamDarwich @oussamahamadeh @eliseaoun @lourdamaria1 Ehh ehh hayda la yalle menon zawi ehtiyajet khassa,Neutral,None
@bachoo95 @mawzex @MichelleRomanos 7elwin chou behoun? Ya3ne iza bachir w flamant ma bi footo 3al saff it means its easy ;),Positive,None
@Badwifinianos ken fe le3eb b 3 DMs ken fe stad3a lucas w Robinho ken fe 3emel ktir ishya! Anw 7ake 3al fade halla2 ensa,Negative,None
@baekhyun helo,Positive,None
@BakrRifai hayde azde lamma 7attet l soura bro :p,Neutral,None
@baradaN_29 Haaaappyyyy Birrrthdaaaayyyy ya albe bhebbik ktir ♥♥,Positive,None
@BassemBoustany chou baza2et,Negative,None
@BassemBoustany chou king,Positive,None
@batoola_ibrahim hahaha .. ma tfakrine nese el soboh chou hkite,Positive,Joke
@Bayernoholic Hahaha wallah :p ktir aweye kenet hone :p,Positive,None
@Bayernoholic la2 w hasamuwa enno man city will win. 3andon halit Denial enno liverpool yerba7o anything.,Neutral,None
@Bayernoholic W anaaaa hahahaha *high five* ana 1st team Barca 2nd Bayern 3rd Liverpool ;p 3amle teshkile :p festo2 joz w loz,Positive,None
@beainio Wlak yeslam timmak 3ala hal 7akki...ktir saar fi bala sharaf!!!!,Negative,Foul language
@bernardsafi hahahahaa ... Chou 3arafneee 3am beshrab may O.o,Neutral,None
@BHazimeh bro enta ntek bta3tef shu ya3ne deflection? Hayda tap in w ur second ken tap in rooh fel,Negative,Foul language
@Bibi_DD min hayda ?,Neutral,None
@BilalBeainy chaklak mabsout fiyoun ktir:p,Neutral,Sarcasm
@BitarMichele ma aslan l khass ktir tayib mishax,Positive,None
@biwiaz @marc5vano chou baghel 😂,Negative,Bullying
@BobFanous ana ktir bhebo bas still 3emlo menno aktar ma huwwi ya3ne,Negative,None
@BobFanous Mish defensively azde bass eno ma ken fi ktir chances w plays helwin w hek,Negative,None
@BousamraM Ahahahahha:p Ma ktir tchedd idak:p,Neutral,Sarcasm
@BundeSabeh Bass ino hayda l 2alak betenzal 2imeta lama ya3touwa la goalkeeper Hiye btenzal 2imeta lama ya3touwa la nafes l cha5es kel mara,Negative,None
@BundeSabeh chou be5sous hayda l bidal ya3mellak comments 3a postetak 3al addicts? ðŸ˜‚,Neutral,Joke
@c0592f2e6c1d4d6 chou sayir,Neutral,None
@camsafa CHOU AWEEE,Positive,None
@CarelSaliba bt2oule in beirut mch at beirut,Neutral,None
@CarenHelou: @KhazenNour Helo asir ??? Oui oui aslan tyes belle kif ma kente (3am betghazal fike eza lahazte :p),Positive,None
@CarlaHad jamelik couci Chu hl helo heyda :),Positive,Courtesy words
@CarlZ_15 hahahahahh (Y) eh bas l helo eno akid lah yet2akharo la yotla3o les notes  coe dhabitude ! ;p,Positive,None
@carolee12345 hahaha ehhh  chou baddoun aktar men hek,Neutral,None
@CaroleHarb Ma fiya tkun boring w ma3e .... p.s : khattik ktir bechi3,Negative,Bullying
@cathedrelic w ktir zeit zaytoun!! Wlak akhhh!!,Positive,None
@CelloSeries @TaraAbdulkareem @nadinennjeim @khal333340 @TaimHasanActor waw ktr helwe hl pic,Positive,None
@ChaficAtallah @maxwont khaye mar chabel ma hada ba arreb 3lei chou fehem ?,Negative,None
@ChaficAtallah @MelodieTamer ~~`●♡•♤•kol khara`♢~♢~¡♢•,Negative,Foul language
@ChaficAtallah skot chafic,Negative,None
@ChantaleFahed3 thanks bab l helo b shouf kel shi helo ;*,Positive,None
@CharbelGhsoub mech hayda yale ken ykun fi mounesabet lal ouwet yrouh y3alle2 a3lem? sar bado y7allil,Negative,None
@Charbelonsky @FreddyStephan hayda be2eh el moto??,Neutral,None
@Charbelonsky @JuniiiR eza tom ford tole3 ma3ak hek c grave :p,Negative,Sarcasm
@Charbelonsky @lea_karam cheftaine skot,Negative,None
@Charbelonsky hahaha ! Hasset hale 3al msn bel 6eme,Positive,None
@Charbelonsky hahahah ma khasso alain :p ha gheniye,Positive,None
@Charbelonsky machi..kif eza cherbene,Neutral,None
"@Charbelonsky uff kenet jeye red 3leik ""like amagad""",Positive,None
@Charbelonsky wen ?,Neutral,None
@chefrinz allah y5alikon la ba3es w ydim el wefe2 :) ma tel3abilon ktir bi 3a2leton lal sabaya bokra men battel nle2i sabiyi netjawaza :p,Positive,None
@chefrinz inta el nice ya helo,Positive,None
@cherif_allam ehh biaarfoo bi dal y2ele eno hayda artak b jal el ba2dounisðŸŒ¿,Neutral,Foul language
@cherif_allam hottellak chi soura m3atmeh aktar,Negative,Bullying
@cherif_allam makhas 3am oul eno enta bedakhin ktir w carl sakarjeh w dod l marijuana,Neutral,None
@ChloeChahwan @RitaNakhoul1 ana b3almik :p,Neutral,None
@christelle1612wlek a7la chou mno23oddd ma3 l z8arr :/ ?,Negative,None
@ChristianMardo ma t2oul hek.. hekme/riyade vs outside beirut,Neutral,None
"@Christine_Habib Chris Sho toli3 oset hayda el sout "" bomb "" or what ?",Neutral,None
@christybarakat ken fi ktir talej bs 3elyet el harara ktir so faraya msakra ARZ MSAKRA fi bs laklouk wel laklouk&lt;&lt;&lt;,Negative,Known fact
@CindyRizkallah @ElyseS16 jebt eshya ktir cute la2elon men spinneys nananaa,Positive,None
@clara_hac be chou 🙊,Neutral,None
@ClementHakim helo el tafe2ol ;):p,Positive,None
@Cybele_reaidy @ChaficAtallah ma fi ra7a,Negative,None
"@Cybele_reaidy bi kouno msh aryin shi mnel enjil gher verse wehde w bi hotoua ""favorite verse"" shou fahamik..",Negative,None
@Cybele_Reaidy eh astazeh!,Positive,None
@Cybele_reaidy lak all the bestttt,Positive,None
@Cybele_reaidy te3tir,Negative,None
@Cybele_reaidy yal,Neutral,None
@Cybele_reaidy: @elabboudz nsiya :p ma 3ende jem3a l jom3a ana Haha tab get useful w s2alile 3an l course,Neutral,None
@CybelSaliby ahhðŸ˜‚ ehh w el tal3a ass2al b ktir ðŸ˜”ðŸ˜‚,Negative,None
@CybelSaliby tab hala2 hayda ayya noss?,Neutral,None
@cynthiaahaddad @MonitaJ1 @MonaZheiry @grumpy_cynthia 100% hayda l ma2soud...a7lamiyin al :p,Neutral,None
@cynthiaahaddad mich enno kalbik kbir laa22 kalba huge w mour3ebbbb,Negative,Known fact
@CynthiaKhalife1 ktr helo go green!!,Positive,None
@cynthias94 jeyin yeher2o hableton,Negative,None
@D_AJ_ ye3neh ntartineh la odhar min beirut la tinzaleh 3al hamra??? ;(,Negative,None
@DaisyOdicho @anthonyeid1 Hwe hwe helo kif ma kenn :p ma3 aw bala gyym 😊,Positive,None
@DalalBakhour mbaaalaaaaaa3333 3ande ktir sowar elek:'),Positive,None
@dana18D @lovelymemo2000 @Rayano_Hssn @najwakaram. Lk ana b7ebou 7azzi ktir allah ykhalili yeh ya rab tab3an lama tred 3layi nanouj hhhhhhhh,Positive,None
@DanaTeresa567 1. L song ktir helwe w moujarrad ma tkouneh sme3tia w 3am te7ke 3anna ya3ne chi ktir mni7.,Positive,None
@daoudrayan soura 3l wtsp bedala aktar men 15min w ma btousal 😒😡,Negative,None
@darkembracee shu bsewilik akel ?,Neutral,None
@datingcameron ktir sa3ib ya3melna follow cameron :( sarle se3a 3am ba3mil spam,Negative,None
@DayanaElHachem hahah ta3e kele fi ktir:p,Positive,None
@DayanaLHM layke arattine unfollow w hek sar ma t3ale sawtik ktir :p,Negative,None
@deliciadagher @halastyles ou3a 7ada y7kele chou l2ossa :&lt;,Negative,None
@deliciadagher hahhahahaha lk ehhh 5alleleer 2alboooo chou mahdoummm &lt;333,Positive,Courtesy words
@DFB_Team_EN @wassimea badde e3tereflak enno hayda lshi fakhm :p,Positive,None
@Dgfheili fi wehde bteje b r8,Neutral,None
@dileysbieber same helo 3ane ma bade adim ntehro nteko idk idc,Negative,None
@Dima_Kahloun @lilianamatoury hahahaha hayda shi3arna kelna :p bas badik n2dar nkl :p man l regime shu by2har :(,Negative,None
@dimasafieddine bhebbik ktir,Positive,None
@dimitrifiani @MalouElia ana hélwédimi hélo malou hélwé nour hélwé don shou ?:D,Positive,Joke
@DinaAntakly 7asab chou bi 7eb,Neutral,None
@DollyAyash1 W ana la7 e7darik :-) .. Yala take care b 3aj2it beirut :p ... Mwah,Positive,None
"@dominicabuhanna @Tareksoueid ba3ed wala marra chefto b "" men ahla byut ras beirut"" !!",Neutral,None
@dominicabuhanna hahaha min allak bade mout :p ma ykoun l akel msammam 😒 wlak sa77a w hana 3a2albak :*,Positive,Joke
@DonKraidly Hahaha bs Hala2 saro khatereen ktir! Nshalla ma yejo dodna bil CL 😂😂,Positive,None
@Douniakatibi eh ktir bahdaleeeeee,Negative,None
@eddy_hatem @ChaficAtallah @RitaNakhoul1 lakk khalasss,Negative,None
@eddy_hatem @Charbelonsky @joekazan khalas kholset l nekte eddy,Negative,None
@eddy_hatem ahh non mna3mol tweet up 3a charafak :p,Positive,Joke
@eddy_hatem aw bas bedak tethamam,Neutral,None
@eddy_hatem chou ya king,Positive,None
@eddy_hatem l odouwye neon ta chuf eza mnechtere aw la2,Neutral,None
@eddy_hatem wled w beda tel3ab,Negative,None
@eddy_hatem ya3meli chi effet ba3ed,Negative,Sarcasm
@EidLarissa nzlo 3a Beirut,Neutral,None
@elabboudz nsiya :p ma 3ende jem3a l jom3a ana,Neutral,None
@ElenaHkayem hahahaha ehh shou helo bas l 2 ba3ed ahla :w,Positive,None
@elias_nemer9 de telephone 2eza fina nehker yeaner le2ano mfakra 2eno zeit ra2em fik taamol vote yeaner tehker,Neutral,None
@EliasKharma Eh cava khassatan li rayih Dahye bi Van #4. Ktir 3adiyye,Neutral,None
@eliebarakat 3am bedros man,Neutral,None
@ElieFrangieh @samerjsaadeh @Renabouabdallah khayyy hayda lmatloub merci mannn wa akhirannn 3refet chou baddeh have a nice evening all,Positive,None
@Eliemajdalanie6 laaa bl 3aks wala ... Ktir mhdoum 3 iyem alin knt mout dhk bas talfin w tdbkouwa 6 am hhhhh,Positive,None
@ElieMarioo ktir mniiihh 👍👍👍,Positive,None
@elikhoury763 Margo ma 3m tred 3alaye.. Ma32oul beha chi,Negative,None
@Elinesaade ajdab soura sheyefa be hayete kella.,Negative,None
@Elio_Msann95 to chou ya kbirna,Neutral,None
@Elioh95 hayda l jant ana m2akad. Jareb dallak tedahak w tkoun mabsout ad ma fik. Fik tsoh 10% asra3 eza kent mabsout mahal ze3len,Positive,None
@elissakh @Ranyandco waw😍❤️love u princess,Positive,None
@elissakh awal ma fe2t staf2adet 7ali 🙊😂 Adore you 😌♥️♥️♥️,Positive,None
@elissakh. Eza badek walla bji mnn l b2a3 3al beirut l3ndk hala2 w bhtam fiki,Positive,None
@elissakh. Tigi nesma mnn beirut 3ala 5adi tfoot tew7ashni 3younak,Positive,None
@ElizaAoun :) w ente w urs will come with us chou? :p,Neutral,None
@elma_ayoub habbet esmik,Positive,None
@elsaissa la2 bas kehefet a3mel tag w tkouin sa2ta haram,Negative,None
@elsaraidy chou tghadayte enti?,Neutral,None
@ElsyRaji: @Fouad_Rahme ktir helo w jagal w hek. She's one of my fans 👆,Positive,None
@emelsous ou3a taate esme la hasan laen kteer khefet!!,Negative,None
@eyadnakad 2-hayda el tefkir li 3am yjer el balad la fetan mazhabiye w 3ayb nda7ek a3de2 3layna,Negative,Sectarianism
@fadelkaadan anna bi beirut bas raj3anee 3a Milan :/,Negative,None
@Fadi1Haddad seret hadra l clip 5 marat w ma 3m bchba3 meno ad ma huwe ra23 kn lezm nancy tt3amal ma3ak mn zamen tala3ta bi ahla soura :),Positive,None
@FadiHaddadmedia @najwakaram estez plz eza lkabar mazbout w fi ejtime3 salmli 3laya ktir w bousa 3a jbina mn 3ndi badna sowar w akhbar 7lwe,Positive,None
@faditarabay88 @sarah09998 @LBFJPA @wef @Gebran_Bassil La abadan bas t7alafna ma3 hizb alla w fawatnahon bil7okomeh layser el General ra’ees... 3an jad ino sho el mshkleh?,Negative,Sectarianism
@FadwaRifai 100%.. Ktir sayir fi falaten w kello 3l hayin w yalla shou ma ken !,Negative,None
@fakihn @AbouJaoudehTony eh walla la nedhak w nesma3 l sot l helo wl ebde3 can't wait for tmw,Positive,None
@fakihn allah la ywafe2on kif 3am bi2atloulna l jech lebneni aslan eza keno sena aw chi3a aw ... chou manon 3alam w 3endon ahel,Negative,None
@FansLeaMakhoul1 Anaaa W Ma Bcherikk Bi Wala Wahad Ba2aa:pChii Ktiirr Mez3ijj W Ma Elo 3azee..Chou Ela Me3na Ybayyin Senye L Esem Bl Trend?😂,Negative,None
@fantastlsco shway ktir bas yalla cava regular mnen2abal anyways 😂,Neutral,None
@farah_ayyad7 mhaleyeh ktir chfefik khdoudik ka ano dunno ba3rif sayra tayoubeh,Positive,None
@FarahNasr1 ana kenet bkit :p,Negative,None
@FarahShamii hahahahha nshalla bshufik bi matar beirut akhhh ma ile khla2 8 se3at tayaran bs :p,Positive,None
@FaridaZeinaty Faridaaa:( ente bta3rfe chou bene:/ haha:p,Negative,None
@FaridaZeinaty hahaha chou m3asbe menno:p,Negative,None
@FatenShamas anna akid btinbositt eza adamit najwa karam tnayneton libneniyeh w ktir hilo y3tirfo bi najeh ba3don wi berko la ba3don,Positive,None
@fathihajjar lah wlo ma la hal darajee :( hahah lebnen ktir helo bas ma 7ada kherbo gher lsiyese,Negative,None
@FawazMay 3ade beirut w dares kamen hehe,Neutral,None
