tweet,sentiment,highlight
@firashaleemi heheh eh shaklk bthb el wa3ye bakir :p looool hope nharak ykun helo mwaaah 347450117181276160,Positive,None
mawjou3a baadne so saabe edhar liom :/,Negative,None
@marwan_masre sheyef el chabah moukhif ka2ina hye w  hssein el deik twins ðŸ™„ðŸ¤£ðŸ¤¦â€â™€ï¸,Negative,Bullying
L liste shwe ktir mesh zabta ,Negative,None
Bas ma telkush shakhes ma ktir testaghreb ino battalo yehkuk.,Negative,None
Helo ktir ,Negative,None
Whyyy bhebb hl2d l akel whyy,Negative,None
Kteer 3am bedhak ,Positive,None
@ahmadalayoubi07 Ma3 3elem enou sar 3andak 7ayetak tefha bas yala i love u too take care @#Beirut #Beirut,Positive,Courtesy words
Ok ktir 3melet mni7 pneumo im so happy ,Positive,None
Ktir 😂😂 bt fej2ine bi ur tweets kel marra 😂😂 ,Positive,None
el dollar sar bel 4000 chabeb allah y3inna la wen waslin.. allah ykoun ma3na kel lahza,Negative,None
Leh we3e hal2ad bakir w bas ykun 3ande sheghel bet3azab ktir ,Negative,Joke
Chou bo2tet de7ek eza bykhsaro l brazil 3a ardon bi awal game,Positive,None
@FawazMay enu eh bs view ktir helo b madrestik;p,Positive,None
@FadiHaddadmedia @najwakaram estez plz eza lkabar mazbout w fi ejtime3 salmli 3laya ktir w bousa 3a jbina mn 3ndi badna sowar w akhbar 7lwe,Positive,None
@KachmarAli @Janahakim el e7tiram ma khasso bi fare2 el sen. Fi nes akbar meneh b ktir w ma kharja e7terema ,Negative,None
3anjad chi byef2os enak tkoun daraset daraset y2ajlo el fahes.. rah kel chi di3an,Negative,None
"Fi hada y2elle chou ela ta3me ossit l ""prom date"" ",Negative,None
ma ken bedde tedhar hyye bhal episode kenit btestehal terba7 :(,Negative,None
URGENT shab 3am yenzof bel m3ounet bi jbeil w bado A- daroure ... esmo Nader Matta w hayda ra2em bayo 71375399 el shab wahid  please help,Negative,Known fact
@AliKaraki91 helo helo 😍 allah yeb3at l kheir ,Positive,None
Hala2 5edlak 3a akel b hal 3id,Positive,None
Anjad kteer zaha2 men douno :/ ,Negative,None
Shu aam tehke ya zalame hayda naser ilehe esmo😂👏 ,Positive,None
@JoannaKai1 6 snin??? Rou7e 3mele 7akime  chou ela 3aze 7ayawenet ?,Negative,None
@HoussamMazraani shft ness btt3ab kaza sene la tsir doc w hayda la ann sham ri7it awal sene medecine sar doc !!!,Negative,None
mich edra enhaz men el takhet men el sa23a,Negative,None
#kousaï Mabrouuuuuuuuuuuk ... Allah ya kousaï . Bravooooo .. #MbcTheVoice #kousa #MbcTheVoice,Positive,None
Hayda mehen ya habibte,Negative,Bullying
kel ma fout 3a supermarket w y2arreb hada 3alaye bi de2 albe malyoun,Negative,None
@najwakaram Natrinek 3a nar ya malike 🌹 Ktir met3atchine nesma3 gheniye menik 💖 Bheeeeeeeeebiiiiiiiiiiiikkkkkkkk Ya 3omreeeeeeeeeeeeee,Positive,None
@najwakaram najwa allah ywaf2ik bil tour wbetmanna ykoun el single 2arib b7ebbik ktir ya malake bi kil chi bi sawtik akhle2ik wchakhsitik😘,Positive,None
Nzelet Riyad solh today w ktir assbet no way elle aam besir no wayyyyyy ,Negative,None
@midolebnen ana ktir b7eb hal8enyee,Positive,None
Hahahaha ma hek!!! Ktir kbir 😂😂 ,Positive,None
I love it ktir mood daya3 kel season hahahaha ,Positive,None
@elissakh. Eza badek walla bji mnn l b2a3 3al beirut l3ndk hala2 w bhtam fiki ,Positive,None
Sabah el thawra 😍 la kill el ma2ruseen / mab3useen mn el thawra lissa ma shefto shi 🥰 ,Positive,Sarcasm
3ayzin dam o- la ekhte bi mestachfa maounet bi jbeiil please rt ad ma fikon,Negative,None
@stephanie_saad Chou zanbe ana eza da2alle mouhame el fennene Ahlam??? ðŸ˜,Negative,None
@mhamadallouch @Paulastih @Zeytoona 😘😘😘 aloushii 3yunak el helwen beshufu kel she helo 😉 ,Positive,None
"Al tkheyalo l banet ysiro ylatcho l chabeb 😅 "" ya helo chu hal wax  fina nehke 3al wats ? "" 😂😂 ",Positive,Joke
Lezim eshab loto lyom haze ktirr helo ,Positive,None
@Charbelonsky hahahah ma khasso alain :p ha gheniye,Positive,None
3ANJADDD😂😂 ,Positive,None
ma bede erja3 fout bi 3ale2a w en2aza aktar yemkin..,Negative,None
Mrab7eenek jmeele 3al $2000 yalle baddek tedfa3eehon lal course ,Negative,None
Ka eno ma hada ghayra bemasel helo 🤣 ,Negative,Sarcasm
@ahmadabdallah88 hayda dalil edde ahrinak :p,Negative,Bullying
Shu helo ykun fi wahad bel admissions 3arabe ktir bedhak ,Positive,Joke
Akalll brazillllll 7-1 !!!!!!! Al chou 7adro 7alkoun lal braziliye :p,Positive,None
@SallyDaoud 3m warjiki 3youni! Helo lawnon ;p ,Positive,None
@kiki_el_khazen ktir awiyeh,Positive,None
Kif byaamlo fina hek el Drs wlo anjad rhamouna,Negative,None
Madroub Hayda ! Shaklo nese Ino eja Min rahem lady ! ,Negative,None
@sabine_mansour @MhdDankar @waelhc @Marwan_BFD ana bzon ma btel2a bs het ta nshuf ,Negative,Bullying
Shakla ejet beirut w 3araset 😂 ,Positive,Joke
@JasonMardini yuhhh khalas chu bedak bhal chaghle aslan :p,Negative,None
Ya ala ktir bhebon,Positive,None
@PinellaHanania sho helo l zh2?? :p :p ,Negative,Sarcasm
@DaisyOdicho @anthonyeid1 Hwe hwe helo kif ma kenn :p ma3 aw bala gyym 😊 ,Positive,None
@Ihabinho_Ak shu hayda ya Zalame😂😂😂😂,Positive,None
fi rihet hari2 bel beit bas 3eref men wen jeye,Negative,None
@LeaMakhoul a2al chi hayda mna3mlou... love u hbb #LeaMakhoul #LeaMakhoul,Positive,None
@NourSaid_ hahaha ktir helo the name btw yimkin bas fi 3 in the world esmon Nye,Positive,None
ma hada rah ye2dar yradine men hal a3al w el aher li ana fi,Negative,None
my uncle is lowkey aawne w ktir aabele natfo ,Negative,None
Ana ktir bhebkoun. ,Positive,None
@RenaEliass nchallh  la2an bas hderto el trailor ken 3al ad kif tkheyalto bas 2rit el kteb,Positive,None
#WhyIloveGhada inty ktir 7ilwiii #WhyIloveGhada,Positive,None
bro kif serna hon ,Negative,None
Chou helwee allahh,Positive,None
Ya 3adra chou hayda!!!!! ,Negative,None
Chou bheb bas ez3ouj l3alam. :) ,Positive,None
@GhenwaKaedbey Heida l post ma njeb siret gebran bassil fi njeb fi khabar 3an walid junblat wosel l message ♥ 😘 NB: @GhenwaKaedbey rfi2te w 7a tdalla rfi2te bi 7al hadan chef l posts 😁,Positive,None
@AhmadSharara bas 7asse twitter 7ay2oum 3layye :p ktir majlou2in fiyun enno ma khalas kello a team..,Negative,None
Chou mahdoumeh😒 ,Negative,None
@Fouad_Rahme ah helo helo ana ele mn 20 decembre mkhalsaaa ☺️☺️ ,Positive,None
Lek fi LU bl soura it says enno mndal nendob 7azzna ,Negative,None
Chou??? Ma fi bad things happening el layle?? ,Negative,None
Enno kif 😍😍😍😍😍 #theloveofmylife #GeneralMichelAoun #theloveofmylife #GeneralMichelAoun,Positive,None
Yes yes pls kelkon tla3o 3a faraya barke bi kheff daghet el 3alam bi Beirut yes do it bravo thank you ,Positive,Sarcasm
Ya wayle chu helo l goal #france #spain @KarimFKhanafer #france #spain,Positive,None
@najwakaram #JudgeNajwa ye5reb 3a2lik chou lebe2liiik #JudgeNajwa,Positive,None
Hayda Lebanon 🇱🇧 kel shi fee magic 😂 ,Positive,None
@JanaMhamad hahahha ana taba3e gharibee :$ma fi ktir 3emlin menna ;) ,Positive,None
@Cybele_reaidy lak nchallah 3ayouuull,Positive,None
@hiba_khalil1 hahaha tb ma howe ktr helo w hek :p hahaha ,Positive,None
@maximkhalil1 happy birthday ya ajmal moumassel maxim khalil...kelak ehssess w temssilak bi2asser fina ...w jamelak w kel chi fik helo ,Positive,None
@Riita8 @andrea_lian helo 3ane :p ,Negative,None
eemlin hal2et influencers l thawra w ma aazamoune b sifate akbar nekatjiye bel thawra? aayb w shame ,Negative,Sarcasm
kobe w bento ma byestehalo 3anjad z3let,Negative,None
Ufffff uffff la hayda esmo goalll hattrickk ronaldooo,Positive,None
@nicolasmezher ana ktr z3elet 3ali 3m t3mlo ma3 rim bs bidal temsilak helo w moudhech :) ,Negative,None
@lateef3abboud ahla w sahla bl abboud next week my parents go down to beirut betsir l a3de hon ;) ,Positive,None
@NawalElZoghbi da5il hadamtik mwah ♥ 3am no3tash ktir ya nawaaaaal ,Positive,None
La2 helo ktiiiiiiiiiiiiiiiir l shab !!!! #ctrop #ctrop,Positive,None
Hayda twitter mich site porno habibe ok? Bs balke ma kente 3erfa eno kermelik ya3ne,Negative,None
La2 wloo ASOT600 ken bi beirut w ba3don bel nrj music tour? :| ,Negative,None
@hazoon2014 heheheheheheh hazzooonnntehhh kifik ya ahlaaa benet 3andeh yeha wli bhebba ktir w baddeh ta3miya mloukhiyehh,Positive,None
I m in love with the Coco Chou ma elak ta3me bel hayet anta,Negative,Bullying
@TarekTamo eh ana chwei nezlet dame3te kamen ,Negative,None
L memes yale 3am yetla3o halla2 are out of this world. Te3it l nammoura 2ateltne 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 ,Positive,None
@krystellefreiha mbeyin ktir bt 7ebbe l Kleb ya bent😂 ,Positive,None
Akiiid😁😁 ,Positive,None
W ela 3en tehke 😂 ,Negative,Sarcasm
@Marwan_BFD @dankarz @MhamadDankar @AdhamArslan eza hada sa2al 3an lshabe kilo busy bl whatsapp ,Negative,None
“@rheabamo: Ktir habbet kif bi aldoo😂👅”@sarah_zakhour btetzakkare?😂,Positive,None
@LILIANNENEMRI aslan ente el lebneniye l asliye akkar w b2a3 w jnoub w beirut ...w ana nafse li wadaytelik inbox mberh 3al fb ,Positive,None
@AlissarHelou guess sho bda l3bet shedee hkit ma3 maya w yahie jeyee!! #Beirut #friends #Beirut #friends,Positive,None
ok ma sme3et l lyrics ktir bas aam behke production wise i like it ,Positive,None
@wakanou_ Bass la ma3loumetik ma kenet 3am defi3 3al benet literally ma ba3refa bass kenet 3am 7awil wassilik fekrit enno el diaspora lezim ysedo ni3on iza 3andon shi y2oulo dod el thawra bass heik,Negative,None
ayre ktir 2asarit fiye hal kahbriye,Negative,Foul language
Ma fi ryeha,Negative,None
@melbardisi1 @mariezr04 @62Roses @kayal40 @wardh_881 @SoonaMaatouk waw waw,Positive,None
Ktir khayfe chouf 3alemte,Negative,None
W eerr shou helo hal matchh😍😍😍😍 ,Positive,Foul language
@SandyyHANNA eltellik chou baddik bhal machrou3 😌 ,Positive,None
Wtf chou sar?,Negative,None
@sami1jawad ma law btetfadal 3alyna w btehjouz w bteje b hal shaher bkoun shi ktir helo!! ,Negative,Sarcasm
hahaha! Yaret bass el helem el 3arabe ba3ed ahyan teh2i2o men hal chi ,Negative,Joke
@HadchityMarc sadi2eh past mesh ya3ne men seneh ðŸ˜‚ bzakrak torres sarlo aktar men sene rayih men liverpool (l soura l enta hatayta abel) ,Negative,Sarcasm
@ClementHakim helo el tafe2ol ;):p ,Positive,None
Lol daharet 🤣 yaret ,Positive,None
Mum nzlt mn car la tmr2ni mn l bineye al car bl shamsiye I mean ana met2akde zawjek ma by3melek hek shi hhhhhh my parents love me a lot ya rab hfazli yehun ,Positive,None
Hayda tayar lnaser wil 7ak 2alah ye7mikon w ye7me sit lkel,Positive,None
Mashrou' Leila 3ala Hayda Hake el layle  😻 ,Positive,None
@khalilahmd @MohamadKaaki ya ret bten3amal retweet l conv. Kella. Eno hadis ktir helo w kello sa2afe haram ma l kel yo2riya :p ,Positive,Sarcasm
May shop la kel sabiy3h bethess hala fashionista :p beirut rue hotel bristol @maybsat111 ,Positive,None
Chou wa3ene ana(?) ,Negative,None
@JenniferRahmeh lah m l helo eno mch hwe b sou2 hada b sou2 3anoo ,Positive,None
@FaridaZeinaty hahaha chou m3asbe menno:p ,Negative,None
@MouhamadNahle lol ktir hek habal walaw,Negative,Bullying
@AkikiJoyce Habbet! Hayda el rideau 3andkoun a la maison?,Positive,None
Lk lyom chft chi chaben ktir hlwin w knt lbse clown w 3achiye chft aktr mn 3 chabeb hlwinnn w knt lebse chabbb B2tulll haleee?!ðŸ™„ ,Negative,None
@Simon_993 Mch hk Ya simon bas 3anjad he chab beche3 kif b oulo 3anno 7elo? ,Negative,Bullying
Mich 3am tozbat ma3i. . . . Eh w chou mna3melak?,Negative,Joke
@NayouchAH6 wowwww chou halbhekmeh,Positive,None
@LeaSbaite khabrine besharafik ana ktir zeh2an bel saff,Negative,None
Ta3e ana w yeke na3mello video Haram he's cute w twitter bale bizahe2 ,Positive,None
@RechdanNour yii ana bheb hal soura,Positive,None
Okhti msafra w ha3mel haflaaa,Positive,None
allah yestor chou rah tal3o arar,Negative,None
@MichelleRomanos HAHAHHAHAHAHAHHAHA thank you thank you btw di3ayet fadi r3aydi chou zakkaretne fikeee😂😂😂😂😂btw chta2nelik,Positive,None
@rania_elkhatib mazel mamnou3 tkebbeh war2a 3al ared w fi mahalet bas lal aneneh w l3ando i3aka honik mich ma32oul chou byehtamo fi,Positive,None
@Cybele_Reaidy eh astazeh!,Positive,None
#WhyIloveGhada yiii nsit sara7tik ktir 7ilwii w awyii .dalik heik ghodghod 7abibi #WhyIloveGhada,Positive,None
@maleksharif plz s2alo shou ra2yo bl shebeb yelle darabou l 3alam bl wassat Beirut w yelle 2awas b zalka ,Negative,None
@Mostaphaki @lollanasser2 @ellananoss @rama_ajram @tayemooriya Salmmtek Lama ,Positive,None
@Yara_berberi @ghanemeddy nhnaa mjenin chwe la2 ktirðŸ˜‚ bss enoo haram maa nchufo ðŸ˜­ðŸ˜­,Negative,None
Chatrin tehko bl wirate bs ya sadi2e ra2is lhezeb bl kataeb byetsawat. Cheikh samy elo 25 sene bl kataeb w toli3 chwe chwe. Heyda hezeb t3azab ktir nhat bl freezer mnel 90 lal 2005 reji3 kamen nhat bl freezer la halla2. Eja jil jdid 3am yehke la masla7etna w ento jeyin t3etbo. ,Negative,Sectarianism
@LBCI_FansSs @LBC_Group Chu hl cadre l helo :)) ,Positive,None
@elma_ayoub habbet esmik,Positive,None
Saro marten bou3a maf2ouseee !! @Charbelonsky,Negative,None
Shaklo metel balotelli hayda hahaha,Negative,None
Chou ba3mil bi hayete(?) ,Negative,None
@Charbelonsky hahaha ! Hasset hale 3al msn bel 6eme,Positive,None
@Hammoud_91 lak eh hayda l hake l sah,Positive,None
3al mada el arib mich aaref chou el jaweb.. ma badde erja3 eghlat bi ha2kon w ekhsarrkon,Negative,None
Eh laeno l darak 3ana ktir awedim ,Negative,Sarcasm
@pamoffff bas 3anjad tawal ktir 7adis balad chata2na lal barnamj,Negative,None
Helo kteer kteer kteer ,Positive,None
"Kiff kell wahad sar ynazel soura la day3to ma3 ""my village last night"" w henne bel 10 snin byotla3o marra.",Negative,Sarcasm
@makramaoun @nidaleissa lech hek 3am tehkoune tab ? :( :/,Negative,None
@najwakaram ana b7ebik.ktir ya amar,Positive,None
@GhidaThiniFawaz mwal3eta ween ma ken Twitter insta w Yalla 😂👌 ,Positive,None
@AhmaddOssaily @ReeemAjam aslan hayda l shaytan li sharreke yeh la2an amerkene,Negative,None
Ktir helo l taes ,Positive,None
@MhamadDankar @dankarz @Marwan_BFD @AdhamArslan no bas shakla ktr helwe hayde mnemshi feha ziad ,Positive,None
@justaline1 @lama00lamlam ana li bya3emlouleh unfollow bkoun hekeh ma3oun w bhebboun w henneh kamen bas duno chou bi serloun byofosmo,Negative,None
@RimaNJEIM ma 3ena ersel ya rima beyrouth gemeyze alla ma3ik ma sme3tik wala lsala ma ba3ref eza men 3endkon or lradio . ,Negative,None
@ElieFrangieh @samerjsaadeh @Renabouabdallah khayyy hayda lmatloub merci mannn wa akhirannn 3refet chou baddeh have a nice evening all,Positive,None
@FadwaRifai 100%.. Ktir sayir fi falaten w kello 3l hayin w yalla shou ma ken !,Negative,None
@HaveYuGotItYet ohh shit :/ kherbene ktir ya3ne?,Negative,None
@AliJMansour @boudzj kenna ne3senin haypartna estez aliii be hel soura :p lol ,Positive,None
Helo chaklak!!!!!!! 😌 ,Positive,None
Omg ðŸ¤¦ðŸ»â€â™€ï¸ li 3al autostradre ,Negative,None
Italian guys ktir bi bako. ,Positive,None
Migraine ana chou 3emletlik tab?,Negative,Joke
May 3ishuwa ktir madrid fans 2ino hine ze3lenin w maba3rf shu la2an fal di maria. bas utd fans elon ha2 la2an ronaldo is the worlds best,Negative,None
@ranamoussallem mercii ktir ena 7a testsdife l queen Lea Makhoul w Natrinkon 😉👍 #LeaMakhoulOnSawtElmada #LeaMakhoulOnSawtElmada,Positive,None
@StephanyFeghaly ana ktir bheb el promo taba3na :p,Positive,None
Hahahaah habbet,Positive,None
Liverpool dabe7 ,Positive,None
“@najwakaram: Saba7 l anwar Chta2na Ktir Ya 7abeyib 🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹” Nawartiiiii😍😍😍😍,Positive,None
@eddy_hatem ya3meli chi effet ba3ed,Negative,Sarcasm
@my orthodentist please ma ktir tnikile temme i wanna enjoy China box liom ,Negative,Foul language
@Hussein_Edris @amouna_mostafa hahahhahah no law sama7et ana ba3ref sewe akel :p w pro wfek tes2al 3aylte :p,Positive,None
@mariakhouryyy mmmm ktir taybin ma3ik 7a2,Positive,None
@Imadalhindi mouch 3ejebni iben el Maalouf lately mouch 3am byetla3 7esso ktir @jad_maalouf,Negative,None
@Tarek_Omran badde yeha Bookra W Chou Bookra knefe,Positive,None
Cousinte nezle mn ljnoub t tetzahar b beirut w3l2et hon w2al batal 3nda underwears Eltella i still have new boxers eza badik mesh lebison abel. I wont tag her 😂😂 #لبنان_ينتقض ,Positive,Joke
Bheb ali ktir bye ,Positive,None
@Roudyhanna @AndreaAndu25 hahahahaha tnaynetkoun chou mahdoumin:),Positive,None
awlkon eza rehet ethchammas rah ehtere2 ktir? 3etlene ham,Negative,None
@tracyghanem eh hayda zolem .. J'ai rien fai le2an :/ :p ,Negative,None
Sa23a aw ana bene shi ! ðŸ˜•,Negative,None
Wlak yo2borne allaaaaa #MBCTheVoice #فريق_عاصي #MBCTheVoice,Positive,None
Ma tonbosto ktir halla2 metel l 3ade mnenhebil ekhir chi. ,Negative,None
Smalllaaaa hayda l matloub hahaha ,Positive,None
@Samirnassar95 chou fiya chi helo? Elle pleaseee gher eno bs bass awal noss d2i2q ? ,Negative,None
@Pia_Gea ba3rif ana ktir awe.,Positive,None
W howe ktir helo.  ,Positive,None
@9GAG @MayssaERassy bit zakrik hal soura be hada?🌝😂,Positive,None
Chou ya helwinn,Positive,None
Dakhlak HezbAllah chou bte3tebera milichia aw chou? ,Negative,Sectarianism
@hasanmakki ma khas l history b hek :p ma tkun metl liverpool fans:p ,Negative,Joke
@ousbou3fisa3a 2alla yse3ed chou biyefham,Negative,Sarcasm
HOTO MTV HALA2 MARWAN HABIB ,Positive,None
ktiiir damma3et,Negative,None
Hayda ma biya3ref ye2ra w yektob w bedo waziren Wlooo kif la Ken iza Ken 3ando terminal ,Negative,None
ANA Mka2be. MA BA2 FINE.. ,Negative,None
@GhidaSkaf eh baybb sba2ine ðŸ˜ Dakhlik 3esh min shefik :o Kel ma sa2alna 3anik btetl3e b Beirut :/ ,Negative,None
AKH ALBE EL DEHEEEKKK,Positive,None
Bala manyake aam tujaane ktir baydte ,Negative,Foul language
Shou lezim a3mol bi daynte el chmel eza ktir aam besma3 da2et albe? Hessa fi shi bi alba w ma aam yotla3 ,Negative,None
7aram patchi w alfa m3atren anja2 betal3o 2-3 millions profit a year ,Negative,Sarcasm
ktir do3eeettttt chou mafroud a3mel? benzal walla bdal bel beit? :/,Negative,None
@rodolphbourgi hahahhahha hayde ktir bte7keðŸ˜‚ðŸ˜‚,Negative,Bullying
chou bi oulo la chakhess khoser ebno? :( #unfair #sadtruth #angel,Negative,None
@alijaafar54321 hayda 3ana b lebnen ? ðŸ˜³ðŸ˜³ðŸ˜³,Negative,None
@mich_h ehhhhhhhhh ma heikkkkk chou ha tetsalehhh bi cha3ratik mahroutin 3al sa2ef bel jeux de lumiere,Negative,Sarcasm
Li b de2 l beb b le2e l jaweb. Ma assar fike. ,Negative,Saying
@marwan_fd @Khalilsaad7 Se3den temo ad mgharit Jeita w mankhouro mtl kwe3 arayya ,Negative,Bullying
bi bakke,Negative,None
“@marc_mhanna_17: @FadelGemayel @michelfarah98 bas bro goal taba3e mou5iffff” eh man ktir helo ,Positive,None
@baekhyun helo ,Positive,None
@ayoubjanine ummm anaaaa walla lyom 3am zawim hatta wl ac mdawar hahahah seret mhamam 3 marrat lolll w now feyit ktir chob w ess,Negative,Foul language
Boukra btotla3 natijet lfhousat. Allah yestor,Negative,None
Hahaha U should See Me 😂 Ka2abetttttttt ,Negative,None
@James_Yammouni awww chou cutee law kenet bi Lebnen kenet 3meltellak hek ,Positive,None
habibti @nousraghaleb1 chou saierr ma3ekk :O,Negative,None
Eza 8enneyet l musalsal la marwan khoury 3refo enu l musalsal helo. ,Positive,None
hada mich eder ynem metle? #insomnia jarrabet malyoun chaghle bas 3abas,Negative,None
Ade helo l shete w l ra3ed bara w ana bl takhet? ,Positive,None
@Karlsfeir @joekazan ahlan ahlannn,Positive,None
“@Andrea_Hajal: Enta ktir helo.”mercii ,Positive,None
@NourhanKheir HAHAHAHAHAHAHAHAHAAHA ktir awiyyi :p,Positive,None
@MariaS_Official plzzzz follow ana lyom 3id miledi farhini bi follow minek plzzz ktir bhebek be3chaek,Positive,None
@ritahayek1 ktr helo e7sesk w akd 3m toussal l msg :) ,Positive,None
"-chou bek ze3len? --""t5ena2na"" ana w sa7ebte w tarakna - Da5lak edeich 3omrak? --13 sene estez -tayeb Khaberne chou sar baynak w bein Dora. ",Positive,Joke
Bonjour Abou Ron☺️ eza mettef2in 3al to2sim ktir mnih mabrouk loto laken. Ana bas bede te3ezmouneh bas tehteflo🤪 ,Positive,None
Ktir daroure eno l 3asfe tkoun ktir awiye w nfaris l 5amis,Positive,Joke
@MishoRicha @NadimBayeh_ chou khas? ben iran w saudi iran is LESS WORTH tnaynetoun adrab men ba3ed w alla yeb3edoun 3anna. ,Negative,None
Clip clip ta3 dess chouf chou ne3im,Positive,Saying
@mashrou3leila tonight on hayda 7ake! Can't wait 😍 ,Positive,None
@Marwan_Kanj hahahahah... Plz khali 3ndkon!!! ,Positive,None
lil asaf baaed fi nes leh2a za3ima,Negative,None
@mlzzzzzz 3adz  3melo ba3d chi machrou3 baleyÃ© #groupe #de #putes #groupe #de #putes,Negative,Foul language
Ktir awe el monsieur avec @mayadiab mish Carlos wala haidak taba3 el m7atta.. ah esmo Nadim. ,Positive,None
Ktir jou3 ,Negative,None
hada ghayre ma bi hebb hayeto?,Negative,None
dahaktine ktirr,Positive,None
Ana bhebik ktir bs ma habyt menkun bs ro7te ala jlasit mouwezaneh w lezim te7termo waja3 cha3b w sawra w zolem abel ma ta3mlo ehtiram lal mou2asaset ,Negative,None
Akid mish joker 7alabouuu ,Negative,Saying
@NESREENTAFESH nesreeno pls follow 7al2t lyom kenet ktir helwi estamiri,Positive,None
@AmaniEzzeddine laaaa hayda esmo jahal:P,Negative,Bullying
@FatenShamas anna akid btinbositt eza adamit najwa karam tnayneton libneniyeh w ktir hilo y3tirfo bi najeh ba3don wi berko la ba3don,Positive,None
sara5et ,Negative,None
@MariaS_Official byelba2lek ktir chou ma bte3mli helou 3layi,Positive,None
@MarwaElMarouk eh ana ma hasset hahahaha mart l made hasset fiya ktir :p,Positive,None
KTIR BHESS BYETLA3O SETS OF TWINS 😂😂😂😂😂,Positive,None
@ayoubiemma looooool ktir helo bas enteh ahlaaa yo2broneh modelik chou helweh ,Positive,None
ya 3adraa kif bado ye2ta3 hal semester??? ktir stress kel el wa2et :(,Negative,None
"Person: ""Khatik ktir helo mabyechbahik"" me: thx person: lek la2 azde over ne3im w ente ktir hyperactive . Euhh chou ekhdine fekra aan el hyperactive mafhemet? ðŸ˜‚ðŸ˜‚ ",Negative,Joke
mich hatta chi btemme ele yawmen,Negative,None
@cathedrelic w ktir zeit zaytoun!! Wlak akhhh!!,Positive,None
Fi ktir wazawiz bel hamra ...,Negative,None
Great hek ma me mnensah ktir iza sar fe harb. Innn ,Positive,Joke
@NourH92 ma bi salle ktir eza ma ken mou coach tbh,Negative,None
@RashaAbouAntoun hahaha ktir bhebb ekhod close shots lal eyes fiyon details bi khawfo !,Positive,None
@samirsleem bro ne7na bisexuals chou fiya?,Negative,None
Enteh ktir helweh,Positive,None
Hala2 bedkon t2oulouleh eno mafi hada byel3ab call of duty online? Chu hal cha3b hayda? ,Negative,None
W ahla chi eno semeater break bas eno l ta2es mech ate3 ,Negative,None
Dakhlik ente chou mahdoume😍 ,Positive,Courtesy words
@lovelysylvana @serieslb Wow mn esmo mbayan helo :p wen ? ,Positive,None
@Gebran_Bassil Dakheel ijrek maba2a t2adim shi inta. Shfna kl shi shtaghalto lawen wasalna. Rte7 habibi nhna mn adim 3anak,Negative,Sarcasm
Oth byaamele depression w b khaline ekoul ktir,Negative,None
Mabrouuukk Liverpool! ,Positive,None
@GhadaJreidi chou seir hadamtik w jamal sawtik ma 3am be2dir ba2a eit7amal bmout fike #DiscussWithGhadaJreidi #DiscussWithGhadaJreidi,Positive,None
ana men hala2 la tos2ot lhoukoume kella w tokhlas l thawra ma rah otlaa aal autostrade ,Negative,None
@ArabsGotTalent Jennifer waw raw3a,Positive,None
